fuente,indicador,anio,departamento,casos,poblacion_0a17_ech,n_muestral_poblacion,tasa_por_10mil,pobreza_2019_pct,n_muestral_pobreza_2019_pct,hacinamiento_2019_pct,n_muestral_hacinamiento_2019_pct
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Artigas,51,20406.0,735,24.99,18.1,735,2.12,442
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Canelones,376,151348.0,3834,24.84,9.99,3834,5.68,2303
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Cerro Largo,39,24499.0,780,15.92,15.66,780,5.6,472
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Colonia,95,32797.0,985,28.97,7.63,985,2.29,605
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Durazno,45,15734.0,549,28.6,16.87,549,3.51,310
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Flores,20,6830.0,257,29.28,7.63,257,1.36,159
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Florida,49,18313.0,534,26.76,8.81,534,1.62,321
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Lavalleja,52,14963.0,445,34.75,13.33,445,4.16,256
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Maldonado,119,47049.0,1159,25.29,4.82,1159,2.77,709
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Montevideo,674,309135.0,7744,21.8,24.07,7744,4.6,4693
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Paysandú,74,35921.0,1064,20.6,15.74,1064,7.59,588
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Rivera,111,30123.0,998,36.85,18.97,998,3.31,593
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Rocha,77,18819.0,743,40.92,13.14,743,1.92,463
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Río Negro,57,17069.0,483,33.39,11.9,483,3.05,283
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Salto,91,37383.0,1238,24.34,13.71,1238,4.81,691
fiscalia,actuaciones FGN delitos sexuales NNA,2019,San José,84,30305.0,966,27.72,4.77,966,3.66,572
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Soriano,69,23326.0,663,29.58,11.74,663,3.52,363
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Tacuarembó,77,25595.0,807,30.08,14.04,807,2.61,480
fiscalia,actuaciones FGN delitos sexuales NNA,2019,Treinta y Tres,41,13531.0,405,30.3,26.86,405,8.02,247
