cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Juventud|Mujeres,51.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Juventud|Varones,37.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Juventud y Adultez|Varones,4.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Total|Mujeres,1336.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Total|Varones,1257.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Familia Extensa,Total país,Total general,2593.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Primera Infancia|Mujeres,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Primera Infancia|Varones,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Infancia|Mujeres,7.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Infancia|Varones,5.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Adolescencia|Mujeres,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Adolescencia|Varones,1.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Juventud|Mujeres,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Juventud|Varones,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Juventud y Adultez|Mujeres,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Juventud y Adultez|Varones,0.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Total|Mujeres,8.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Total|Varones,7.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa Parcial,Total país,Total general,15.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Primera Infancia|Mujeres,203.0,cantidad
Cuadro 1,"Cuadro 1. Cantidad de niños, niñas y adolescentes en Acogimiento Familiar por etapa de desarrollo y sexo, según propuesta de atención",Extensa,Total país,Primera Infancia|Varones,183.0,cantidad
