indicador_codigo,indicador_nombre,dimension,anio,apertura,valor,unidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,region=Litoral,902.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,region=Centro - Sur,829.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,region=Centro - Sur,891.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,region=Centro - Sur,922.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,region=Centro - Sur,1071.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,region=Centro - Sur,1140.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,region=Centro - Sur,1130.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,region=Este,700.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,region=Este,689.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,region=Este,747.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,region=Este,841.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,region=Este,833.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,region=Este,860.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,propuesta=Cuidado familiar/ Cuidado en contexto,3316.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,propuesta=Cuidado familiar/ Cuidado en contexto,3947.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,propuesta=Cuidado familiar/ Cuidado en contexto,4217.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,propuesta=Cuidado familiar/ Cuidado en contexto,4736.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,propuesta=Cuidado familiar/ Cuidado en contexto,4865.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,propuesta=Cuidado familiar/ Cuidado en contexto,5005.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,propuesta=Cuidado residencial,3200.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,propuesta=Cuidado residencial,2921.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,propuesta=Cuidado residencial,3009.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,propuesta=Cuidado residencial,3281.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,propuesta=Cuidado residencial,3037.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,propuesta=Cuidado residencial,2983.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Protección,4251.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Protección,4768.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Protección,5089.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Protección,5770.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Protección,5920.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2025,motivo=Protección,6144.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2020,motivo=Problemas vinculados a las capacidades de cuidado familiar,1271.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2021,motivo=Problemas vinculados a las capacidades de cuidado familiar,1213.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2022,motivo=Problemas vinculados a las capacidades de cuidado familiar,1304.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2023,motivo=Problemas vinculados a las capacidades de cuidado familiar,1476.0,cantidad
1.1,Cantidad de NNA atendidos en el Sistema de Protección Especial,Cobertura,2024,motivo=Problemas vinculados a las capacidades de cuidado familiar,1353.0,cantidad
