indicador_codigo,indicador_nombre,departamento,periodo,apertura,valor,unidad
7,Cantidad de NNA en el departamento que ingresan por primera vez al Sistema de Protección Especial,Artigas,2025-S2,total,47.0,cantidad
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2020-S1,total,15.9,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2020-S2,total,19.6,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2021-S1,total,30.2,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2021-S2,total,27.0,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2022-S1,total,17.5,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2022-S2,total,23.7,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2023-S1,total,21.0,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2023-S2,total,18.9,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2024-S1,total,15.3,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2024-S2,total,13.6,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2025-S1,total,16.7,porcentaje
8,"Porcentaje de NNA que ingresan por primera vez al Sistema de Protección Especial en algún proyecto del departamento, respecto al total de atendidos por el Sistema en el departamento",Artigas,2025-S2,total,17.0,porcentaje
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2020-S1,total,1.0,cantidad
9,Cantidad de NNA que ingresan con trayectoria anterior al Sistema de Protección Especial en el departamento,Artigas,2020-S2,total,2.0,cantidad
