cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",SIEMPRE,Total país,Juventud y Adultez|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",SIEMPRE,Total país,Juventud y Adultez|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",SIEMPRE,Total país,Total|Mujeres,598.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",SIEMPRE,Total país,Total|Varones,543.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",SIEMPRE,Total país,total,1141.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Primera Infancia|Mujeres,512.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Primera Infancia|Varones,524.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Infancia|Mujeres,5248.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Infancia|Varones,5523.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Adolescencia|Mujeres,92.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Adolescencia|Varones,111.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Juventud|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Juventud|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Club de Niños,Total país,Juventud y Adultez|Varones,1.0,cantidad
